CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
101000797114,03/06/2013 11:49:37 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,62 N Beacon St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,R1,62 N Beacon St,02134,42.35387,-71.14112,Constituent Call
101000719207,12/10/2012 10:28:19 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,51 Hemenway St  Boston  MA  02115,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,407,CD,51 Hemenway St,02115,42.34518,-71.08983,Constituent Call
101000706871,11/15/2012 01:56:24 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,134-131 Tremont St  Boston  MA  02111,3,1C,2,A1,Boston,4,03,308,RC,134-131 Tremont St,02111,42.355965,-71.062189,Constituent Call
101000500743,10/31/2012 10:23:04 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,249 Washington St  Dorchester  MA  02121,7,03,4,C11,Dorchester,8,Ward 14,1402,R3,249 Washington St,02121,42.30132,-71.07695,Constituent Call
101000495255,10/22/2012 09:12:25 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,21 Ridgeway Ln  Boston  MA  02114,3,1B,1,A1,Beacon Hill,3,Ward 3,306,R1,21 Ridgeway Ln,02114,42.36059,-71.06401,Constituent Call
101000495233,10/22/2012 08:54:25 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,136 Chiswick Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2115,R4,136 Chiswick Rd,02135,42.34056,-71.15332,Constituent Call
101000485811,09/28/2012 02:01:04 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,341 Bunker Hill St  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,Ward 2,207,R2,341 Bunker Hill St,02129,42.381527,-71.067475,Constituent Call
101000481938,09/20/2012 09:11:27 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,88 Pembroke St  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 4,403,CD,88 Pembroke St,02118,42.34201,-71.07653,Constituent Call
101000479893,09/17/2012 09:04:06 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,22 Worthington St  Mission Hill  MA  02120,9,10A,8,B2,Mission Hill,14,Ward 10,1002,R2,22 Worthington St,02120,42.334346,-71.102306,Constituent Call
101000478329,09/13/2012 08:29:49 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,95 Normandy St  Dorchester  MA  02121,7,03,4,B2,Roxbury,13,Ward 14,1401,RL,95 Normandy St,02121,42.309622,-71.080222,Constituent Call
